순서,설치기관명,설치기관 주소,관할보건소,설치장소 주소,설치위치
1585,한양병원,"전라북도 전주시 완산구 장승배기로 204, 한양병원 (평화동1가)",전주시보건소,"전라북도 전주시 완산구 장승배기로 204, 한양병원 (평화동1가)",구급차 내부
1586,평화1동주민센터,전라북도 전주시 완산구 장승배기로 256 평화1동 주민센터,전주시보건소,전라북도 전주시 완산구 장승배기로 256 평화1동 주민센터,평화1동 주민센터
1587,한솔요양병원,전라북도 전주시 완산구 장승배기로 46 (삼천동1가),전주시보건소,전라북도 전주시 완산구 장승배기로 46 (삼천동1가),구급차내부
1588,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 완산구 평화로 100 (평화동2가) 주공그린2단지아파트,평화주공그린타운2단지아파트관리사무소
1589,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 덕진구 와룡2길 7 (송천동2가) 동아아파트,관리사무소
1590,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 완산구 구이로 2094 (평화동2가) 평화주공그린타운,관리사무소
1591,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 완산구 평화로 181 (평화동1가) 코오롱아파트 관리사무소,관리사무소 입구 경로당 현관
1592,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 덕진구 안덕원로 251 (인후동1가) 한신휴플러스아파트,관리사무소
1593,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 덕진구 가리내로 550 (송천동1가) 한양아파트,관리사무소
1594,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 덕진구 견훤로 333 (인후동1가) 위브어울림아파트,관리동 1층 방재실
1595,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,"전라북도 전주시 완산구 삼천천변1길 45 (삼천동1가, 흥건2차아파트)",관리사무소
1596,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 완산구 온고을로 121 (서신동) 서신동 광진아파트,아파트 정문 경비실
1597,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 완산구 여울로 161 (서신동) 서신 이편한세상,관리사무소
1598,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 완산구 삼천천변2길 51 (삼천동1가) 우성2차아파트관리사무소,관리사무소
1599,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 덕진구 솔내로 142 (송천동1가) 신일아파트관리사무소,정문경비실내
1600,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 완산구 평화로 95 (평화동2가) 호반리젠시빌아파트관리사무소,관리동 경비실
1601,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 완산구 삼천천변1길 46 (삼천동1가) 흥건삼천1차아파트관리사무소,관리사무소
1602,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 덕진구 소리로 179 (호성동1가) 주공아파트관리사무소,관리사무소
1603,전주시보건소(아파트),전라북도 전주시 완산구 전라감영로 33,전주시보건소,전라북도 전주시 완산구 세내로 239 (효자동2가) 포스코더샵아파트관리사무소,관리동 1층 방재실
1604,엔브릿지호텔,전라북도 전주시 완산구 전주천서로 81 (동서학동),전주시보건소,전라북도 전주시 완산구 전주천서로 81 (동서학동),엔브릿지호텔 로비
1605,골든카운티요양병원,"전라북도 전주시 완산구 중인1길 136-20 (중인동, 옥성골든카운티)",전주시보건소,"전라북도 전주시 완산구 중인1길 136-20 (중인동, 옥성골든카운티)",구급차내부
1606,드림솔병원,전라북도 전주시 완산구 천잠로 507 (효자동3가),전주시보건소,전라북도 전주시 완산구 천잠로 507 (효자동3가),구급차 내부
1607,의료법인계산재단문실버요양병원,"전라북도 전주시 완산구 충경로 91, 문병원 (경원동3가)",전주시보건소,"전라북도 전주시 완산구 충경로 91, 문병원 (경원동3가)",의료기관 구급차 내부
1608,전주태평에스케이뷰아파트,전라북도 전주시 완산구 태평2길 22,전주시보건소,전라북도 전주시 완산구 태평2길 22,관리사무소 밖 광장옆 벽면
1609,중앙동주민센터,전라북도 전주시 완산구 태평3길 43-17,전주시보건소,전라북도 전주시 완산구 태평3길 43-17,중앙동주민센터
1610,효사랑전주요양병원,"전라북도 전주시 완산구 팔달로 272, 효사랑전주병원 (서노송동)",전주시보건소,"전라북도 전주시 완산구 팔달로 272, 효사랑전주병원 (서노송동)",구급차내부
1611,전주교대전주부설초,전라북도 전주시 완산구 팔달로 74 (서서학동),전주시보건소,전라북도 전주시 완산구 팔달로 74 (서서학동),본관 1층 교무실 옆 벽면
1612,평화2동주민센터,전라북도 전주시 완산구 평화18길 14-16 평화2동 주민센터,전주시보건소,전라북도 전주시 완산구 평화18길 14-16 평화2동 주민센터,평화2동 주민센터
1613,평화송정써미트아파트,전라북도 전주시 완산구 평화7길 40,전주시보건소,전라북도 전주시 완산구 평화7길 40,관리사무소 내
1614,전주평화푸른마을아파트,전라북도 전주시 완산구 평화9길 16 전주평화푸른마을아파트,전주시보건소,"전라북도 전주시 완산구 평화9길 16 (평화동2가, 주공푸른마을아파트)",경비2초소
1615,전주평화푸른마을아파트,전라북도 전주시 완산구 평화9길 16 전주평화푸른마을아파트,전주시보건소,전라북도 전주시 완산구 평화9길 16 전주평화푸른마을아파트,전주평화푸른마을아파트 관리사무소
1616,중화산1동주민센터,전라북도 전주시 완산구 한두평3길 16 중화산1동 주민센터,전주시보건소,전라북도 전주시 완산구 한두평3길 16 중화산1동 주민센터,중화산1동 주민센터
1617,효자휴먼시아1단지아파트,전라북도 전주시 완산구 호암로 2,전주시보건소,"전라북도 전주시 완산구 호암로 2 (효자동2가, 효자휴먼시아1단지아파트)",단지내 1경비 초소 앞
1618,효자휴먼시아1단지아파트,전라북도 전주시 완산구 호암로 2,전주시보건소,전라북도 전주시 완산구 호암로 2,효자휴먼시아1단지아파트 관리동 1층 복도
1619,아르팰리스,전라북도 전주시 완산구 호암로 41,전주시보건소,전라북도 전주시 완산구 호암로 41,관리동 복도 중앙
1620,휴먼시아5단지,전라북도 전주시 완산구 호암로 87,전주시보건소,"전라북도 전주시 완산구 호암로 87 (효자동2가, 효자휴먼시아5단지아파트)",504동 2초소 내
1621,휴먼시아5단지,전라북도 전주시 완산구 호암로 87,전주시보건소,전라북도 전주시 완산구 호암로 87,관리사무소 내
1622,효자휴먼시아5단지,"전라북도 전주시 완산구 호암로 87 (효자동2가, 효자휴먼시아5단지아파트)",전주시보건소,"전라북도 전주시 완산구 호암로 87 (효자동2가, 효자휴먼시아5단지아파트)",2초소
1623,효자휴먼시아6단지,전라북도 전주시 완산구 호암로 88,전주시보건소,"전라북도 전주시 완산구 호암로 88 (효자동2가, 효자휴먼시아6단지아파트)",정문경비실
1624,효자휴먼시아6단지,전라북도 전주시 완산구 호암로 88,전주시보건소,전라북도 전주시 완산구 호암로 88,관리사무소 내
1625,한국토지주택공사전북지역본부,전라북도 전주시 완산구 홍산로 158 (효자동2가),전주시보건소,전라북도 전주시 완산구 홍산로 158 (효자동2가),사옥1층 안내데스크 옆 로비
1626,박종혁믿음병원,전라북도 전주시 완산구 홍산로 250 (효자동3가),전주시보건소,전라북도 전주시 완산구 홍산로 250 (효자동3가),의료기관 구급차 내부
1627,필립에셋전북지역본부,전라북도 전주시 완산구 홍산로 250 우리빌딩 2층 필립에셋 (효자동3가),전주시보건소,전라북도 전주시 완산구 홍산로 250 우리들빌딩 2층 필립에셋 (효자동3가),필립에셋 전북지역본부 출입구
1628,서부신시가지아이파크아파트,전라북도 전주시 완산구 홍산로 390,전주시보건소,전라북도 전주시 완산구 홍산로 390,관리사무소 입구
1629,효천우미린더프레스티지아파트,"전라북도 전주시 완산구 홍산로 77 (효자동2가, 전주효천우미린더프레스티지)",전주시보건소,"전라북도 전주시 완산구 홍산로 77 (효자동2가, 전주효천우미린더프레스티지)",관리사무소 출입구 옆 벽
1630,코오롱스카이타워,"전라북도 전주시 완산구 홍산북로 83 (효자동3가, 코오롱스카이타워)",전주시보건소,"전라북도 전주시 완산구 홍산북로 83 (효자동3가, 코오롱스카이타워)",코오롱스카이타워 경비실
1631,중화산2동주민센터,전라북도 전주시 완산구 화산천변로 30 중화산2동 주민센터,전주시보건소,전라북도 전주시 완산구 화산천변로 30 중화산2동 주민센터,중화산2동 주민센터
1632,현대에코르아파트,전라북도 전주시 완산구 화산천변로 50,전주시보건소,전라북도 전주시 완산구 화산천변로 50,관리사무소 내
1633,코오롱하늘체,전라북도 전주시 완산구 화산천변로 55,전주시보건소,전라북도 전주시 완산구 화산천변로 55,관리사무소 내
1634,금호아파트,전라북도 전주시 완산구 효동3길 33,전주시보건소,전라북도 전주시 완산구 효동3길 33,관리사무소 내
1635,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 평화동2가 895-3,혁신펌프(83모2696)
1636,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 임실군 임실읍 감천로 33,신덕구급차(83모2696)
1637,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 효자동1가 670,효자펌프(94두6889)
1638,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),혁신구급(72구2314)
1639,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),노송펌프(85누8449)
1640,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),효자구급(79버8586)
1641,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),평화구급(72거4284)
1642,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),서부구급(76루6214)
1643,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),노송구급(71나5078)
1644,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),교동구급(74오2410)
1645,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),서부펌프(90라9513)
1646,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),평화펌프(86누0558)
1647,전주완산소방서,전라북도 전주시 완산구 효자동1가 670,전주시보건소,전라북도 전주시 완산구 거마평로 73 (효자동1가),교동펌프(89너8839)
1648,전라북도청,전라북도 전주시 완산구 효자로 225,전주시보건소,"전라북도 전주시 완산구 효자로 225, 전라북도청 (효자동3가)",전라북도청 1층
1649,전라북도청,전라북도 전주시 완산구 효자로 225,전주시보건소,"전라북도 전주시 완산구 효자로 225, 전라북도청 (효자동3가)",전라북도청 7층
1650,전라북도청,전라북도 전주시 완산구 효자로 225,전주시보건소,"전라북도 전주시 완산구 효자로 225, 전라북도청 (효자동3가)",전라북도청 13층
1651,전라북도청,전라북도 전주시 완산구 효자로 225,전주시보건소,전라북도 전주시 완산구 효자로 225,공연장 3층
1652,효천우미린더퍼스트아파트,"전라북도 전주시 완산구 효천중앙로 11 (효자동2가, 전주효천우미린더퍼스트)",전주시보건소,"전라북도 전주시 완산구 효천중앙로 11 (효자동2가, 전주효천우미린더퍼스트)",효천우미린더퍼스트아파트 관리사무소 입구
1653,전주효천리버클래스아파트,"전라북도 전주시 완산구 효천중앙로 50 (효자동2가, 리버클래스)",전주시보건소,"전라북도 전주시 완산구 효천중앙로 50 (효자동2가, 리버클래스)",정문 경비실 내부
1654,전주효천리버클래스아파트,"전라북도 전주시 완산구 효천중앙로 50 (효자동2가, 리버클래스)",전주시보건소,"전라북도 전주시 완산구 효천중앙로 50 (효자동2가, 리버클래스)",관리실 앞 승강홀
1655,더숲요양병원,전라북도 전주시 완산구 흑석2길 22 (서서학동),전주시보건소,전라북도 전주시 완산구 흑석2길 22 (서서학동),의료기관 구급차 내부
1656,감곡보건지소,"전라북도 정읍시 감곡면 원삼1길 41, 감곡보건지소",정읍시감곡면보건지소,"전라북도 정읍시 감곡면 원삼1길 41, 감곡보건지소",감곡보건지소 접수실
1657,서해응급이송S.O.S,전라북도 김제시 갈공길 54-22 (갈공동),정읍시보건소,전라북도 김제시 갈공길 54-22 (갈공동),구급차내부(이송업 위탁)
1658,유정보건진료소,"전라북도 정읍시 감곡면 감곡동서로 9, 유정보건소",정읍시보건소,"전라북도 정읍시 감곡면 감곡동서로 9, 유정보건소",유정보건진료소 1층 진료실 입구
1659,통석보건진료소,"전라북도 정읍시 감곡면 백산감산로 680, 통석보건진료소",정읍시보건소,"전라북도 정읍시 감곡면 백산감산로 680, 통석보건진료소",통석보건진료소 1층 진료실 입구
1660,정읍경찰서(감곡파출소),전라북도 정읍시 감곡면 원삼1길 33 감곡파출소,정읍시보건소,전라북도 정읍시 감곡면 원삼1길 33 감곡파출소,감곡파출소안 입구
1661,서남권추모공원,전라북도 정읍시 감곡면 정읍북로 1850,정읍시보건소,전라북도 정읍시 감곡면 정읍북로 1850,추모공원대기실
1662,백운보건진료소,"전라북도 정읍시 고부면 고부백운길 19, 백운보건진료소",정읍시보건소,"전라북도 정읍시 고부면 고부백운길 19, 백운보건진료소",백운진료소 접수실
1663,정읍경찰서(고부파출소),전라북도 정읍시 고부면 영주로 542 고부파출소,정읍시보건소,전라북도 정읍시 고부면 영주로 542 고부파출소,고부파출소 안
1664,정다운요양병원,"전라북도 정읍시 관통로 27, 정다운병원 (시기동)",정읍시보건소,"전라북도 정읍시 관통로 27, 정다운병원 (시기동)",의료기관 구급차
1665,정읍시립요양병원,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",정읍시보건소,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",치매병동 2층
1666,정읍시립요양병원,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",정읍시보건소,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",치매병동 3층
1667,정읍시립요양병원,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",정읍시보건소,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",구급차내부
1668,정읍시립요양병원,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",정읍시보건소,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",재활치료실
1669,정읍시립요양병원,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",정읍시보건소,"전라북도 정읍시 금붕1길 160-15, 정읍시노인전문병원 (금붕동)",3병동 간호사실
1670,정읍시치매안심센터,전라북도 정읍시 금붕1길 215 (금붕동),정읍시보건소,전라북도 정읍시 금붕1길 215 (금붕동),정읍시 치매안심센터 대기실
1671,내장산국민여가캠핑장,전라북도 정읍시 내장산로 410 국민여가캠핑장 (부전동),정읍시보건소,전라북도 정읍시 내장산로 410 국민여가캠핑장 (부전동),내장산 국민여가캠핌장 관리사무소 안
1672,국립공원공단내장산생태탐방원,"전라북도 정읍시 내장호반로 266, 내장산생태탐방원 (쌍암동)",정읍시보건소,"전라북도 정읍시 내장호반로 266, 내장산생태탐방원 (쌍암동)",내장산생태탐방원 본관 2층 강당 입구
1673,국립공원공단내장산생태탐방원,"전라북도 정읍시 내장호반로 266, 내장산생태탐방원 (쌍암동)",정읍시보건소,"전라북도 정읍시 내장호반로 266, 내장산생태탐방원 (쌍암동)",내장산생태탐방원 입구 로비
1674,국립공원공단내장산생태탐방원,"전라북도 정읍시 내장호반로 266, 내장산생태탐방원 (쌍암동)",정읍시보건소,"전라북도 정읍시 내장호반로 266, 내장산생태탐방원 (쌍암동)",내장산생태탐방원 생활관2동 입구(데크)
1675,내장산국립공원,전라북도 정읍시 내장호반로 328 (내장동),정읍시보건소,전라북도 정읍시 내장호반로 328 (내장동),내장산국립공원 입암분소
1676,내장산국립공원,전라북도 정읍시 내장호반로 328 (내장동),정읍시보건소,전라북도 정읍시 내장호반로 328 (내장동),내장산국립공원사무소
1677,내장산국립공원,전라북도 정읍시 내장호반로 328 (내장동),정읍시보건소,전라북도 정읍시 내장호반로 328 (내장동),내장야영장
1678,내장산국립공원,전라북도 정읍시 내장호반로 328 (내장동),정읍시보건소,전라북도 정읍시 내장호반로 328 (내장동),내장산사무소(순찰용1)
1679,내장산국립공원,전라북도 정읍시 내장호반로 328 (내장동),정읍시보건소,전라북도 정읍시 내장호반로 328 (내장동),내장산국립공원 네이처센터
1680,내장산국립공원,전라북도 정읍시 내장호반로 328 (내장동),정읍시보건소,전라북도 정읍시 내장호반로 328 (내장동),내장산사무소(순찰용2)
1681,내장산국립공원,전라북도 정읍시 내장호반로 328 (내장동),정읍시보건소,전라북도 정읍시 내장호반로 328 (내장동),내장산탐방지원센터
1682,내장산국립공원,전라북도 정읍시 내장호반로 328 (내장동),정읍시보건소,전라북도 정읍시 내장호반로 328 (내장동),탐방안내소
1683,상학보건진료소,전라북도 정읍시 덕천면 동학로 618,정읍시보건소,전라북도 정읍시 덕천면 동학로 618,상학보건진료소 1층 진료실 입구
1684,영창파크타운아파트,전라북도 정읍시 말고개길 73-4 영창파크아파트 관리사무소,정읍시보건소,전라북도 정읍시 말고개길 73-4 영창파크아파트 관리사무소,영창파크타운아파트 관리사무소
1685,수성동주민센터,"전라북도 정읍시 명륜길 15-9, 수성동주민센터 (수성동)",정읍시보건소,"전라북도 정읍시 명륜길 15-9, 수성동주민센터 (수성동)",수성동사무소 민원대기실
1686,롯데마트(정읍점),전라북도 정읍시 벚꽃로 85 (농소동),정읍시보건소,전라북도 정읍시 벚꽃로 85 (농소동),1층 도와센터 앞
1687,복흥보건진료소,"전라북도 정읍시 북면 용북길 319, 복흥보건진료소",정읍시보건소,"전라북도 정읍시 북면 용북길 319, 복흥보건진료소",복흥보건진료소 1층 진료실 입구
1688,장학보건진료소,"전라북도 정읍시 북면 장학1길 52, 장학보건진료소",정읍시보건소,"전라북도 정읍시 북면 장학1길 52, 장학보건진료소",장학보건진료소 1층 진료실 입구
1689,정읍녹두장군(순천방향)휴게소,"전라북도 정읍시 북면 정신로 135-61, 정읍녹두장군휴게소",정읍시보건소,"전라북도 정읍시 북면 정신로 135-61, 정읍녹두장군휴게소",편의점 출입문 입구
1690,정읍경찰서(북면파출소),전라북도 정읍시 북면 정읍북로 554 북면파출소,정읍시보건소,전라북도 정읍시 북면 정읍북로 554 북면파출소,북면파출소 안
1691,북면보건지소,"전라북도 정읍시 북면 정읍북로 566, 북면보건지소",정읍시보건소,"전라북도 정읍시 북면 정읍북로 566, 북면보건지소",진료대기실
1692,태곡보건진료소,"전라북도 정읍시 북면 태곡길 34, 태곡보건진료소",정읍시보건소,"전라북도 정읍시 북면 태곡길 34, 태곡보건진료소",태곡보건진료소 1층 진료실 입구
1693,정읍녹두장군(천안방향)휴게소,전라북도 정읍시 북면 하북1길 227-23,정읍시보건소,전라북도 정읍시 북면 하북1길 227-23,휴게소내 편의점 입구
1694,산내보건지소,"전라북도 정읍시 산내면 능교3길 14-3, 산내보건지소",정읍시보건소,"전라북도 정읍시 산내면 능교3길 14-3, 산내보건지소",산내보건지소 접수실
1695,정읍경찰서(산내파출소),전라북도 정읍시 산내면 능교신기길 2 산내파출소,정읍시보건소,전라북도 정읍시 산내면 능교신기길 2 산내파출소,산내파출소안 입구
1696,장금보건진료소,전라북도 정읍시 산내면 평내길 13,정읍시보건소,전라북도 정읍시 산내면 평내길 13,장금보건진료소 1층 진료실 입구
1697,정읍경찰서(산외파출소),전라북도 정읍시 산외면 산외로 438 산외파출소,정읍시보건소,전라북도 정읍시 산외면 산외로 438 산외파출소,산외파출소안 입구
1698,산외보건지소,"전라북도 정읍시 산외면 산외로 453-1, 산외보건지소",정읍시보건소,"전라북도 정읍시 산외면 산외로 453-1, 산외보건지소",산외보건지소 접수실
1699,종산보건진료소,"전라북도 정읍시 산외면 종운로 424-7, 종운보건진료소",정읍시보건소,"전라북도 정읍시 산외면 종운로 424-7, 종운보건진료소",종산보건진료소 1층 진료실 입구
1700,정읍청소년문화체육관,전라북도 정읍시 상동중앙로 14 (상동),정읍시보건소,전라북도 정읍시 상동중앙로 14 (상동),정읍 청소년문화체육관
1701,샘골보건지소,전라북도 정읍시 상동중앙로 16 샘골보건지소,정읍시보건소,전라북도 정읍시 상동중앙로 16 샘골보건지소,진료대기실
1702,정읍사랑병원,"전라북도 정읍시 상동중앙로 94, 정읍사랑병원 (상동)",정읍시보건소,"전라북도 정읍시 상동중앙로 94, 정읍사랑병원 (상동)",구급차 내부
1703,정읍경찰서(상동지구대),전라북도 정읍시 상사3길 22 상동지구대,정읍시보건소,전라북도 정읍시 상사3길 22 상동지구대,상동지구대안입구
1704,참조은병원,전라북도 정읍시 새암길 29-11 (수성동),정읍시보건소,전라북도 정읍시 새암길 29-11 (수성동),구급차 내부
1705,부영2차아파트,전라북도 정읍시 샘골로 156 부영2차아파트 관리사무소,정읍시보건소,전라북도 정읍시 샘골로 156 부영2차아파트 관리사무소,부영2차 아파트 관리사무소
1706,정읍실내체육관,"전라북도 정읍시 서부로 9, 정읍실내체육관 (연지동)",정읍시보건소,"전라북도 정읍시 서부로 9, 정읍실내체육관 (연지동)",실내체육관 1층 출입구
1707,정읍시종합경기장,전라북도 정읍시 서부산업도로 138-5 (상평동),정읍시보건소,전라북도 정읍시 서부산업도로 138-5 (상평동),국민체육센터
1708,정읍경찰서(역전지구대),전라북도 정읍시 서부산업도로 303 역전파출소 (연지동),정읍시보건소,전라북도 정읍시 서부산업도로 303 역전파출소 (연지동),역전지구대안 입구
1709,정읍역,"전라북도 정읍시 서부산업도로 305, 정읍역 (연지동)",정읍시보건소,"전라북도 정읍시 서부산업도로 305, 정읍역 (연지동)",정읍역 1층 맞이방
1710,농소주공아파트,전라북도 정읍시 서부산업도로 409 관리사무소,정읍시보건소,전라북도 정읍시 서부산업도로 409 관리사무소,농소주공아파트 사무소
1711,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",태인구급/74두 4271
1712,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",입암구급차/77고5221
1713,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",칠보펌프차/98다9647
1714,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",태인펌프차/95가1313
1715,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",입암펌프차/84두3919
1716,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",입암구급차
1717,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",시기구급차
1718,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",영원구급/74두4274
1719,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",태인구급/74두4271
1720,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",칠보구급/73무4877
1721,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",영원펌프/93로1422
1722,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",하북구급/73무4683
1723,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",하북펌프/96도9477
1724,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",신태인펌프/94두9248
1725,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",신태인구급/74두4161
1726,정읍소방서,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",정읍시보건소,"전라북도 정읍시 서부산업도로 507-5, 정읍소방서 (하북동)",시기펌프/86우6349
1727,정읍경찰서(소성파출소),전라북도 정읍시 소성면 보화1길 118 소성파출소,정읍시보건소,전라북도 정읍시 소성면 보화1길 118 소성파출소,소성파출소 안
1728,고화보건진료소,"전라북도 정읍시 소성면 소성북길 182, 고화보건진료소",정읍시보건소,"전라북도 정읍시 소성면 소성북길 182, 고화보건진료소",진료소1층 현관입구
1729,애당보건진료소,"전라북도 정읍시 소성면 애당길 25, 애당보건진료소",정읍시보건소,"전라북도 정읍시 소성면 애당길 25, 애당보건진료소",애당보건진료소 1층 진료실 입구
1730,소성보건지소,"전라북도 정읍시 소성면 입고로 526, 소성보건지소",정읍시보건소,전라북도 정읍시 소성면 보화리 83-6,진료대기실
1731,정읍교도소부속의원,전라북도 정읍시 소성면 저동길 45,정읍시보건소,전라북도 정읍시 소성면 저동길 45,구급차내부
1732,정읍교도소부속의원,전라북도 정읍시 소성면 저동길 45,정읍시보건소,전라북도 정읍시 소성면 저동길 45,정읍교도소 의료과
1733,정읍시보건소,전라북도 정읍시 수성1로 61,정읍시보건소,전라북도 정읍시 수성1로 61,정읍시 보건소 구급차 내
1734,정읍시보건소,"전라북도 정읍시 수성1로 61, 정읍보건소 (수성동)",정읍시보건소,"전라북도 정읍시 덕천면 황토현로 833, 덕천보건지소",덕천보건지소 진료대기실
1735,정읍시보건소,"전라북도 정읍시 수성1로 61, 정읍보건소 (수성동)",정읍시보건소,"전라북도 정읍시 고부면 영주로 553-3, 고부 보건지소",고부보건지소 진료대기실
1736,정읍시보건소,"전라북도 정읍시 수성1로 61, 정읍보건소 (수성동)",정읍시보건소,"전라북도 정읍시 영원면 영원로 1080, 영원보건지소",영원보건지소 진료대기실
1737,정읍시보건소,"전라북도 정읍시 수성1로 61, 정읍보건소 (수성동)",정읍시보건소,"전라북도 정읍시 이평면 말목장터로 488, 이평보건지소",이평보건지소 진료대기실
